z,dl,ddl
0.000437,1.933279,0.002254
0.017867,80.174143,2.462432
0.019496,87.591554,9.185608
0.019548,87.827157,4.259305
0.022126,99.603196,3.080591
0.022430,100.996127,7.472893
0.023695,106.790966,6.462743
0.025631,115.679920,7.162881
0.028658,129.631006,6.481359
0.029764,134.744397,2.010482
0.029888,135.316859,4.797256
0.032989,149.696668,19.003273
0.033940,154.118677,12.434863
0.033992,154.358135,5.942921
0.034227,155.450381,10.613050
0.034522,156.827254,39.901729
0.034603,157.201922,19.428519
0.034936,158.752319,9.839522
0.035007,159.083158,23.215466
0.035463,161.211237,4.472649
0.035474,161.260939,30.513793
0.035661,162.134256,7.815063
0.038710,176.386908,25.671508
0.039205,178.705650,23.147860
0.040204,183.393520,21.877285
0.040264,183.670994,16.111078
0.040395,184.286972,126.248053
0.040505,184.803521,46.805559
0.040918,186.744299,25.256820
0.042407,193.748790,9.325226
0.043789,200.262278,15.348662
0.044041,201.448645,118.362709
0.044206,202.226342,9.414224
0.045667,209.130616,19.430786
0.046961,215.255627,39.026837
0.047246,216.605720,31.501426
0.047339,217.047157,37.851249
0.047654,218.539205,44.336464
0.047897,219.692094,137.521562
0.048495,222.530471,39.302077
0.048722,223.608170,32.579280
0.049465,227.136564,30.570122
0.049473,227.178831,29.524141
0.049767,228.575090,25.614982
0.049819,228.820165,30.351600
